pptyp,dpurp,mode,deptm_hr,trexpfac,travdist,travtime,delay,source
Child Age 0-4,None/Home,Bike,23,75,3.765037858,25.02612276,15.83052276,soundcast
Child Age 0-4,None/Home,HOV2,0,183,4.540612757,11.80431932,-0.191035869,soundcast
Child Age 0-4,None/Home,HOV2,1,129,6.525828264,14.03885388,0.287923649,soundcast
Child Age 0-4,None/Home,HOV2,2,69,5.490422934,13.03173459,-0.690149466,soundcast
Child Age 0-4,None/Home,HOV2,3,88,6.303243106,14.29637825,0.836605521,soundcast
Child Age 0-4,None/Home,HOV2,4,180,5.385400229,12.59851582,-0.095650847,soundcast
Child Age 0-4,None/Home,HOV2,5,176,6.423434171,14.29168651,0.122481968,soundcast
Child Age 0-4,None/Home,HOV2,6,362,6.015043611,14.32636668,0.466311431,soundcast
Child Age 0-4,None/Home,HOV2,7,1507,5.939765865,15.01139699,1.502352529,soundcast
Child Age 0-4,None/Home,HOV2,8,3019,5.92051632,14.61289081,1.14458674,soundcast
Child Age 0-4,None/Home,HOV2,9,4700,5.879562743,14.18410509,0.80052424,soundcast
Child Age 0-4,None/Home,HOV2,10,7454,5.601295205,13.41539345,0.379173966,soundcast
Child Age 0-4,None/Home,HOV2,11,8016,5.518783249,13.24031455,0.363293592,soundcast
Child Age 0-4,None/Home,HOV2,12,7775,5.344551335,13.02629026,0.392501188,soundcast
Child Age 0-4,None/Home,HOV2,13,8980,5.309904679,12.98203028,0.387707336,soundcast
Child Age 0-4,None/Home,HOV2,14,8517,5.276596915,12.94797718,0.392998901,soundcast
Child Age 0-4,None/Home,HOV2,15,11762,5.148507534,13.23800927,0.805623623,soundcast
Child Age 0-4,None/Home,HOV2,16,10060,4.856629214,13.46343431,1.470825956,soundcast
Child Age 0-4,None/Home,HOV2,17,9077,4.89824424,13.81116334,1.717979465,soundcast
Child Age 0-4,None/Home,HOV2,18,7630,5.106067943,13.40236815,1.043222672,soundcast
Child Age 0-4,None/Home,HOV2,19,7686,5.451637951,13.96367238,1.111312249,soundcast
Child Age 0-4,None/Home,HOV2,20,6134,5.567988317,12.94224786,-0.054732901,soundcast
Child Age 0-4,None/Home,HOV2,21,3227,5.413981369,12.70299528,-0.020754337,soundcast
